text,error,cardiff_label,cardiff_score,shap_cardiff
"India is one nasty, dirty, filthy, germsy, lawless country.",,HATE,0.9943009614944458,": -1.309963408857584e-07, India : -0.1378951009537559, is : -0.029326598427966626, one : 0.0850571098793201, nasty: -0.19364477299920205, , : -0.12053653516341001, dirty: -0.16083929001615616, , : -0.06906945621449267, filthy: -0.2212246874696575, , : -0.06507938823779114, ger: 0.04799802497291239, ms: -0.02711911830556346, y: -0.03305738166091032, , : 0.018998373838257976, law: 0.02305312524913461, less : -0.08625213712002733, country: -0.06953939606319182, .: 0.048054683837108314"
solo que seras bombardeas y destruidos como los a los antiguos alemanes la mejor raza masacrada solo virus kike,,HATE,0.9579125642776489,": 3.37468518409878e-05, s: -0.03310628554027062, olo : -0.014311979859485291, que : -0.0018786457367241383, ser: -0.02732011427724501, as : 0.012125732340791728, bombard: -0.009275459975123383, eas : 0.01194723008700835, y : 0.007447782271247845, dest: 0.001055429396469013, ru: 0.003760972174599634, id: 0.0013527836105952573, os : 0.003701080071290822, com: -0.0020055288085131908, o : 0.01580416652286658, los : 0.01192668008649586, a : 0.01299905988695779, los : 0.018108816648115558, ant: 0.0010075785539811477, ig: -0.0060982786962995306, u: -0.0005146915791556239, os : -0.004967047512764111, ale: -0.0006333731240980949, man: -0.004351579230084705, es : 0.0008382191347967212, la : 0.012198898199130781, me: 0.0011716163720444052, j: 0.00116509603718037, or : 0.00030497617295218837, r: 0.0009114014346980387, aza : 0.0035070407566510967, mas: -0.0012222023958909428, ac: -0.0009732822234380163, r: 0.0006634692383360945, ada : -0.00031934907181291946, solo : -0.014229120366508141, virus : -0.6035714637546334, k: -0.2254110791182029, ike: -0.11840448981820373, : -0.00017653215036261827"
@user @user You cannot argue with a retard jerusalemofiron who lives in a beggar state stolen b\u2026 @URL,,HATE,0.9948639273643494,": 1.7441052477806807e-06, @: 0.01452099162270315, user : 0.06878326670994284, @: -0.0025998042037826963, user : 0.030841155024972977, You : 0.028790054664568743, cannot : -0.004006897819635924, argue : 0.031242431163263973, with : 0.06918485209826031, a : -0.2705211230168061, retard : -0.4712408710838645, jer: -0.009756322051543975, usalem: -0.020266608935344266, of: 0.0005158534077054355, iron : 0.020755997484229738, who : -0.021792898336570943, lives : 0.037976199218974216, in : 0.010861053968255874, a : -0.00900540810835082, begg: -0.10645571439818013, ar : -0.07832317399152089, state : -0.11405236613063607, stolen : -0.08674388164945412, b: -0.04333056099130772, \: 0.02676578253158368, u: -0.04700489046808798, 20: -0.04211985539586749, 26 : 0.0031590795697411522, @: -0.10665565168892499, URL: 0.1066684903926216, : 9.866489563137293e-06"
Can I just pound that pussy an pull your hair. Till I cum on your tits. 🍑🍆,,HATE,0.9775882959365845,": 9.252107702195644e-08, Can : 0.011524426896357909, I : -0.012449256668332964, just : -0.020771704090293497, pound : 0.001951427577296272, that : -0.0962822358997073, pussy : -0.32450581694138236, an : -0.03307861907524057, pull : 0.002469211758580059, your : -0.01958054071292281, hair: -0.008278242952656, . : -0.003484941553324461, Till : -0.00555181855452247, I : 0.032698856928618625, cum : -0.02766931673977524, on : -0.07458646374288946, your : -0.26263293717056513, tits: -0.11479725467506796, . : -0.024532058858312666, 🍑: -0.0018828423344530165, 🍑: -0.0025705182342790067, 🍑: -0.003000927739776671, 🍆: -0.0021396231604740024, 🍆: 0.007649038918316364, 🍆: 0.006561911082826555, : 5.820766091346741e-10"
you do not live in america nazi faggot but you vote the young nazi boy faggot parties tho,,HATE,0.9856496453285217,": 1.1423340765759349e-05, you : 0.0010799294541357085, do : 0.0029899682631366886, not : -0.002513682520657312, live : 0.005410835990915075, in : -0.004146282037254423, americ: -0.003700887958984822, a : 0.0034757642133627087, n: 0.02791692740720464, azi : -0.21471215110068442, f: -0.09090287150077832, agg: -0.2122198116752164, ot : -0.0022807954859066135, but : 0.0010379586892668158, you : -0.00046119571561575867, vote : -0.00020591605789377354, the : 0.008707409100679797, young : -0.004393245779283461, n: 0.001881221081324232, azi : -0.24491111933699963, boy : 0.0006060945064139863, f: -0.05787040429277113, agg: -0.19261016528616892, ot : -0.0015832852222956717, parties : 0.0017637936398386955, tho: 0.0007882744539529085, : -5.238689482212067e-10"
"The Infeltrators should be released to sanctuary cities where they are welcomed. With Congress total BETRAYAL in the American People's safety and activist judges making things even worse by enabling lawlessness, ONLY President Trump's executive emergency powers to build a border security wall and override asylum rules will SAVE America from being overrun by millions INVASION, a National Emergency CRISIS the likes of which we've never seen before including terrorists, weapons, criminals, lethal drugs, child trafficking and medieval diseases.",,HATE,0.9841342568397522,": -0.0003088572243642475, The : -0.10301719499467354, Inf: -0.11534233912259677, elt: -0.001346508230360794, rators : -0.022781859814292853, should : -0.0008466767037235614, be : -0.0008466767037235614, released : -0.0008466767037235614, to : -0.0008466767037235614, sanctuary : -0.14201630306696253, cities : -0.02282023887881743, where : -0.0240432022072907, they : -0.04307105105170714, are : -0.0007387566934561445, welcomed: -0.0007387566934561445, . : -0.005860144292957903, With : 0.0001396850139523546, Congress : 0.0001396850139523546, total : 0.0001396850139523546, BET: 0.0001396850139523546, RAY: 0.0001396850139523546, AL : 0.0001396850139523546, in : 0.0001396850139523546, the : 0.0001396850139523546, American : 0.0001396850139523546, People: 0.0001396850139523546, 's : 0.0001396850139523546, safety : 0.0001396850139523546, and : 0.0001396850139523546, activist : 0.0001396850139523546, judges : 0.0001396850139523546, making : 0.0001396850139523546, things : 0.0001396850139523546, even : 0.0001396850139523546, worse : 0.0001396850139523546, by : 0.0001396850139523546, enabling : 0.0001396850139523546, law: 0.0001396850139523546, lessness: 0.0001396850139523546, , : 0.0001396850139523546, ONLY : 0.005706640075530029, President : 0.005706640075530029, Trump: 0.011519270540318555, 's : 0.002741866918384201, executive : 0.026726725277128733, emergency : 0.023227301192107714, powers : 0.009206699671792901, to : 0.009552242233055747, build : -0.010325580976334297, a : -1.2589759555541819e-05, border : 0.0012886818873489069, security : 0.0012886818873489069, wall : 0.0012886818873489069, and : 0.0013606198817595011, override : 0.0031471036536256883, asylum : 0.0031471036536256883, rules : 0.008172012171578697, will : 0.008172012171578697, SA: -0.006532486982177943, VE : -0.01762283219723031, America : -0.014075098314788193, from : -0.010057146416511387, being : -0.013894119986798615, overrun : -0.015679470950271935, by : -0.020007832895498723, millions : -0.004236922122072428, INV: -0.03089797041611746, AS: -0.009372899995651097, ION: 0.010176304710330441, , : 0.0019827783515211196, a : -0.009121301203313302, National : -0.008959848984423112, Emergency : -0.01598234293986952, CR: -0.005829365620978505, ISIS : -0.01799871229998055, the : -0.011333174002014428, likes : -0.007371114962391884, of : -0.000509538343998001, which : 0.013513826876056984, we: -0.005315395543242202, 've : -0.005993064731249914, never : 0.001107785180747491, seen : 0.001107785180747491, before : -0.01623386076549365, including : -0.01623386076549365, terrorists: -0.10057586700291436, , : 0.00597195870005617, weapons: -0.026088690759414543, , : -0.025590813161605705, criminals: -0.034541648488292206, , : -0.03282626080493044, lethal : 0.00013057477605928275, drugs: 0.00013057477605928275, , : 0.01049939715137173, child : -0.025653939358779188, trafficking : -0.025653939358779188, and : -0.010257540109922135, medieval : -0.04562556137707794, diseases: -0.04042187285986507, .: -0.020999193302400056, : -0.0008140648465736636"
These Niggas Suck.,,HATE,0.995988667011261,": -1.1641532182693481e-10, These : -0.22282912768423557, N: -0.19758712727343664, igg: -0.16533708799397573, as : -0.3296543532051146, S: -0.1414379992056638, uck: -0.14444594574160874, .: 0.20735521893948317, : -9.313225746154785e-10"
<user> ching chong oil 🤧,,HATE,0.9985311031341553,": 6.184563972055912e-10, <: -0.0004972250608261675, user: -0.00018016925969277509, > : 0.00014012175597599708, ch: -0.10643178617101512, ing : -0.10088912312858156, ch: -0.2507760148982925, ong : -0.5366527030673751, oil : -0.0010415241995360702, 🤧: 0.0010173021873924881, 🤧: 0.0006976212680456229, 🤧: 0.0006294091072049923, : 9.167706593871117e-10"
"Yeah, apologise like the weak fucking cuck you are",,HATE,0.9665958881378174,": -7.334165275096893e-09, Yeah: 0.006966234999708831, , : 0.004464799538254738, apologise : -0.06051536349696107, like : 0.0030988813668955117, the : 0.08238071790037793, weak : -0.23552493316310574, fucking : -0.19418018168653361, c: -0.37421107114641927, uck : -0.25714084118953906, you : 0.035992976307170466, are: 0.02453769205021672, : -6.111804395914078e-09"
Wow! This woman is a true IDIOT! Stupid lady!,,HATE,0.991703987121582,": 8.16071406006813e-08, Wow: -0.03511195187456906, ! : -0.008162454003468156, This : -0.02933172856864985, woman : 0.05591419759730343, is : 0.06911066806060262, a : 0.07529323903145269, true : -0.018132943368982524, ID: -0.09478848298749654, I: -0.039541418467706535, OT: -0.1251405182410963, ! : -0.0499828360916581, Stupid : -0.4219419718720019, lady: -0.36002356512472034, !: -0.006853643339127302, : -5.774199962615967e-08"
